Cidade;Estado;Avaliada;População total estimada do município;PIB per capita do município;População ocupada com vínculo formal;Índice de desenvolvimento humano do município (IDH-M);Capacidade de pagamento dos municípios;Índice de GINI da renda domiciliar per capita;Rede de influência da cidade;Econômica;  Índice da população total com atendimento de água;Índice da população total com atendimento de esgoto;Índice da população urbana com atendimento de esgoto;Taxa da população coberta com serviço de coleta de resíduos;Resíduos sólidos - Coleta seletiva de resíduos no município;Percentual de domicílios com população vivendo em aglomerados subnormais;Assentamentos urbanos precários;Programas e ações habitacionais; Serviços regulares de transporte de passageiros;Serviços de compartilhamento de viagens;Serviço de informações de transporte público em tempo real;Serviços e soluções inteligentes para mobilidade urbana;Acessibilidade no transporte público;Ciclomobilidade na cidade;Urbanização vias públicas;Escala de acesso a banda larga fixa;Escala de acesso a banda larga móvel;Cobertura de acesso a banda larga móvel por tecnologias 3G e 4G;Cobertura de fibra ótica;Rede de tecnologia interligando os equipamentos e edifícios públicos;Escala de acesso à banda larga fixa de alta velocidade;Números de estações rádio base;Qualificação profissional e intermediação de mão de obra;Inclusão produtiva urbana;Acesso a crédito, microcrédito e seguro;Geração de trabalho e renda no município;Sistema de informação geográfica da prefeitura;Centros de comando e controle para gestão da cidade;Plataforma integrada de cidade inteligente;Serviços no website da prefeitura;Dados abertos da gestão municipal;Sociocultural;Índice de equipamentos de tecnologia disponíveis nas escolas públicas municipais;Taxa de analfabetismo;Índice de desenvolvimento da educação básica (IDEB) - anos finais;Vagas no ensino superior;Centros de educação tecnológica;Ações de educação para comunidades específicas;Taxas de distorção idade-série;Percentual de escolas municipais com acesso à internet;Computadores para uso dos alunos;Estrutura de equipamentos culturais e esportivos;Proteção do patrimônio cultural material e imaterial;Serviços on-line para promoção de cultura;Serviços culturais on-line oferecidos para a população;Serviços de telemedicina ou telessaúde;Leitos hospitalares na rede pública municipal;Médicos disponíveis na rede pública municipal;Prontuário eletrônico;Serviços on-line de saúde oferecidos aos pacientes;Índice de risco e proteção à saúde dos nascidos vivos;Soluções em monitoramento para a segurança pública;Taxa de homicídios;Políticas públicas e ações para segurança pública;Soluções de tecnologia para gestão e monitoramento de desastres naturais;Vulnerabilidade a riscos e desastres naturais;Promoção de inclusão digital;Cursos de capacitação tecnológica;Políticas públicas para mulheres;Inclusão social para grupos específicos;Formas presenciais para participação pública;Formas on-line para participação pública;Meio Ambiente;Índice de volume de esgoto coletado;Consumo médio per capita de água;Soluções inteligentes para gestão na distribuição e consumo de água;Índice de perdas na distribuição de água;Índice de volume de esgoto tratado;Percentual de material recolhido pela coleta seletiva;Soluções inteligentes para otimização da coleta de resíduos;Proteção e gestão do meio ambiente e áreas verdes do município;Soluções em monitoramento de gases de efeito estufa e qualidade do ar;Monitoramento da qualidade do ar;Soluções inteligentes para gestão do consumo de energia elétrica;Soluções para telegestão da iluminação pública;Capacidades Institucionais;Governança colaborativa;Governança tecnológica;Planejamento;Seguimento de políticas públicas municipais;Visão e conceito de cidade; Abrangência e Qualidade;Governança de TI;Infraestrutura de hardware e software;Institucionalização da gestão de TI;Planejamento para infraestrutura urbana;Planejamento para infraestrutura de TI;Integração e interoperabilidade;Planejamento para serviços e aplicações;Serviços públicos on-line;Serviços urbanos;Coordenação das ações de monitoramento;"Pesquisas de satisfação/
Monitoramento da percepção de qualidade";Plano de monitoramento e avaliação;Transparência do monitoramento;Dados abertos e transparência;Digitalização das bases de dados;Integração e interoperabilidade das bases de dados;Planejamento do uso e segurança dos dados
Cidade;AM;NÃO;41161;7313,77;2217;0,560;C;0,636;Centro Local;0;97,15;ND;ND;41,29;NAO;ND;4;9;4;ND;ND;ND;0;2;95,74;0,22;39,35;3;SIM;ND;0,02;21;6;7;0;4;ND;ND;ND;ND;ND;0;1,20;15,69;3,70;ND;ND;3;29,90;6,63;28;10;0;ND;ND;ND;92;27;ND;ND;0,267;ND;15,04;3;ND;2;6;ND;0;5;ND;ND;0;ND;139,10;ND;0,00;ND;ND;ND;7;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
Acaraú;CE;NÃO;62641;10192,64;3602;0,601;C;0,609;Centro Local;0;31,31;3,99;8,13;ND;ND;0,72;0;7;6;ND;ND;ND;0;0;75,08;7,59;32,30;3;SIM;ND;3,01;17;0;0;0;5;ND;ND;ND;ND;ND;0;25,58;28,25;5,10;264;ND;1;9,20;95,35;115;12;4;ND;ND;ND;102;72;ND;ND;0,107;ND;22,68;3;ND;1;6;ND;0;6;ND;ND;0;12,02;122,80;ND;34,40;100,00;ND;ND;10;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
Arame;MA;NÃO;32701;6609,85;743;0,512;ND;0,723;Centro Local;0;26,32;ND;ND;ND;ND;ND;1;3;0;ND;ND;ND;0;0;67,71;0,21;36,49;3;NAO;ND;0,01;18;5;6;0;5;ND;ND;ND;ND;ND;0;3,21;38,03;2,90;ND;ND;1;29,70;12,24;66;6;0;ND;ND;ND;177;37;ND;ND;0,255;ND;21,82;3;ND;1;0;ND;0;1;ND;ND;0;ND;106,60;ND;62,59;ND;ND;ND;2;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
Agudos;SP;NÃO;37214;55938,77;8522;0,745;C;0,431;Centro de Zona B;0;100,00;98,60;100,00;95,56;SIM;ND;2;4;9;ND;ND;ND;3;2;92,18;26,50;86,44;3;SIM;ND;16,92;32;6;7;4;5;ND;ND;ND;ND;ND;0;30,83;5,16;0,00;7358;ND;1;4,50;94,74;2096;14;6;ND;ND;ND;107;288;ND;ND;0,158;ND;16,35;3;ND;2;7;ND;0;1;ND;ND;0;91,11;173,40;ND;28,72;72,07;ND;ND;8;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
Anguera;BA;NÃO;11221;5740,58;954;0,589;ND;0,487;Centro Local;0;79,83;ND;ND;ND;ND;ND;1;5;5;ND;ND;ND;0;0;65,79;2,33;41,29;1;SIM;ND;0,12;8;0;0;0;0;ND;ND;ND;ND;ND;0;12,95;23,75;3,10;ND;ND;1;28,40;37,50;2776;4;0;ND;ND;ND;53;36;ND;ND;0,080;ND;17,54;0;ND;1;6;ND;0;0;ND;ND;0;ND;68,90;ND;43,64;ND;ND;ND;0;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
Ceres;GO;NÃO;22191;23981,17;5463;0,775;C;0,531;Centro Sub-Regional B;0;95,50;84,85;88,85;95,50;SIM;ND;1;2;5;ND;ND;ND;0;0;95,89;13,15;168,87;3;SIM;ND;3,95;49;5;4;0;3;ND;ND;ND;ND;ND;0;26,79;6,87;0,00;9495;ND;1;1,20;87,50;1560;19;0;ND;ND;ND;748;451;ND;ND;0,119;ND;45,38;3;ND;0;6;ND;10;0;ND;ND;0;83,35;155,30;ND;20,38;100,00;2,94;ND;10;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
Irupi;ES;NÃO;13377;14517,60;1109;0,637;C;0,512;Centro Local;0;29,51;17,01;44,95;37,85;SIM;0,77;1;1;3;ND;ND;ND;0;2;3,27;8,26;47,73;3;NAO;ND;1,60;66;5;6;3;0;ND;ND;ND;ND;ND;0;10,92;17,97;4,90;ND;ND;1;17,20;41,18;435;9;0;ND;ND;ND;0;22;ND;ND;0,216;ND;22,66;3;ND;1;6;ND;0;0;ND;ND;0;62,09;150,50;ND;24,60;0,00;ND;ND;2;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
Alcântaras;CE;NÃO;11714;6046,05;1102;0,600;C;0,465;Centro Local;0;22,16;11,35;35,46;ND;ND;ND;0;2;4;ND;ND;ND;0;0;92,51;5,48;40,25;1;SIM;ND;4,33;25;0;0;3;3;ND;ND;ND;ND;ND;0;14,29;28,34;4,90;ND;ND;0;10,50;28,57;418;4;0;ND;ND;ND;0;43;ND;ND;0,081;ND;0,00;0;ND;1;4;ND;6;0;ND;ND;0;38,17;101,10;ND;29,89;100,00;ND;ND;2;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
Abadia de Goiás;GO;NÃO;8773;28506,69;1816;0,708;C;0,426;Arranjo Populacional de Goiânia/GO;0;73,89;35,91;48,60;100,00;NAO;1,72;1;7;5;ND;ND;ND;0;0;93,18;5,40;100,67;3;SIM;ND;1,80;55;0;0;4;0;ND;ND;ND;ND;ND;0;32,65;8,22;4,80;ND;ND;0;13,80;100,00;486;4;0;ND;ND;ND;0;182;ND;ND;0,232;ND;37,25;3;ND;0;4;ND;0;1;ND;ND;0;36,15;127,60;ND;34,57;100,00;ND;ND;9;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
Abadia dos Dourados;MG;NÃO;6989;21953,45;2178;0,689;C;0,474;Centro Local;0;57,63;62,39;99,86;67,41;SIM;ND;0;2;3;ND;ND;ND;0;0;98,57;18,24;84,46;3;SIM;ND;3,20;28;0;0;0;0;ND;ND;ND;ND;ND;0;6,12;7,85;0,00;ND;ND;0;1,70;14,29;0;6;0;ND;ND;ND;172;200;ND;ND;0,188;ND;0,00;0;ND;0;6;ND;0;0;ND;ND;0;326,35;161,90;ND;26,09;0,00;ND;ND;1;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
